Y_angle
86
77
69
60
52
43
35
27
18
9
0
-8
-14
-22
-29
-36
-44
-51
-59
-66
-73
-80
-87
-90
-84
-77
-70
-63
-56
-49
-42
-35
-27
-20
-13
-6
0
6
12
18
24
30
36
42
48
54
60
65
70
75
80
86
89
71
53
35
16
-2
-19
-36
-54
-71
-88
-71
-54
-37
-20
-3
12
27
43
59
75
89
46
2
-41
-83
-90
-49
-7
33
73
89
31
-26
-83
-90
-34
22
76
88
0
-86
-86
0
85
